ts,x,y
0,942,273
19,936,275
42,930,277
58,920,282
82,914,283
99,,
121,901,281
142,897,286
162,843,281
176,719,253
197,660,235
218,626,228
237,599,223
261,,
282,582,201
301,626,202
321,750,214
339,829,224
359,,
375,,
398,955,243
419,969,249
438,973,253
456,972,260
476,,
494,958,278
516,950,289
538,948,290
562,947,290
583,944,289
595,941,291
617,940,292
636,,
655,938,297
684,933,296
701,,
723,491,206
744,289,138
757,122,50
783,,
805,,
815,,
836,,
862,,
880,11,-61
899,12,-63
919,16,-60
940,15,-60
962,12,-65
