ts,x,y
0,942,273
19,936,275
42,930,277
58,920,282
82,914,283
99,906,285
121,901,281
142,897,286
162,843,281
176,719,253
197,660,235
218,626,228
237,599,223
261,587,216
282,582,201
301,626,202
321,750,214
339,829,224
359,903,233
375,932,235
398,955,243
419,969,249
438,973,253
456,972,260
476,963,268
494,958,278
516,950,289
538,948,290
562,947,290
583,944,289
595,941,291
617,940,292
636,939,295
655,938,297
684,933,296
701,820,283
723,491,206
744,289,138
757,122,50
783,63,12
805,30,-20
815,35,-29
836,35,-29
862,23,-39
880,11,-61
899,12,-63
919,16,-60
940,15,-60
962,12,-65
985,15,-67
997,17,-67
1023,20,-65
1041,23,-61
1058,22,-62
1084,20,-66
1101,23,-68
1119,28,-65
1136,33,-65
1159,40,-66
1183,43,-67
1197,44,-63
1222,40,-57
1238,46,-53
1257,55,-53
1275,58,-47
1305,61,-36
1321,62,-33
1341,62,-27
1356,63,-28
1375,60,-33
1402,61,-31
1423,63,-32
1439,63,-35
1465,68,-37
1475,70,-37
1503,73,-35
1523,74,-34
1539,70,-28
1560,68,-30
1582,70,-33
1598,72,-39
1615,72,-39
1635,78,-31
1665,78,-27
1681,84,-7
1699,87,-5
1724,90,-9
1736,91,-16
1757,88,-20
1784,87,-22
1803,89,-21
1825,92,-18
1835,92,-17
1858,95,-7
1875,94,-4
1897,93,-8
1915,100,-12
1944,103,-17
1961,99,-19
1984,96,-16
2001,95,-15
2016,92,-21
2041,93,-22
2063,96,-22
2080,99,-19
2102,96,-22
2125,97,-29
2137,98,-36
2157,94,-33
2182,92,-31
2197,93,-31
2215,95,-37
2239,94,-35
2260,92,-38
2275,90,-41
2298,88,-42
2319,88,-41
2339,91,-36
2362,93,-26
2377,95,-21
2405,92,-25
2417,91,-24
2439,90,-29
2465,92,-32
2478,92,-42
2496,89,-42
2518,85,-35
2538,85,-29
2555,84,-19
2575,88,-20
2599,92,-16
2620,94,-11
2637,108,-9
2663,114,-12
2678,118,-5
2696,121,1
2720,120,10
2739,116,7
2763,115,11
2781,116,12
2799,115,9
2821,111,-10
2842,108,-14
