module,trial,timestamp,x,y
identification,0,0,877.44,236.52
identification,0,2,883.2,206.28
identification,0,37,881.28,253.8
identification,0,69,883.2,328.32
identification,0,103,846.72,442.8
identification,0,153,842.88,492.48
identification,0,186,687.36,861.84
identification,0,220,773.76,800.28
identification,0,253,804.48,743.04
identification,0,288,837.12,689.04
identification,0,320,862.08,653.4
identification,0,353,879.36,610.2
identification,0,403,865.92,604.8
identification,0,436,885.12,604.8
identification,0,470,912,601.56
identification,0,521,898.56,585.36
identification,0,553,910.08,583.2
identification,0,587,906.24,575.64
identification,0,620,894.72,571.32
identification,0,654,908.16,560.52
identification,0,687,917.76,534.6
identification,0,720,925.44,543.24
identification,0,754,936.96,535.68
identification,0,804,958.08,546.48
identification,0,837,967.68,543.24
identification,0,871,975.36,552.96
identification,0,921,983.04,563.76
identification,0,955,986.88,559.44
identification,0,988,990.72,557.28
identification,0,1021,992.64,546.48
identification,0,1054,998.4,543.24
identification,0,1088,998.4,538.92
identification,0,1121,994.56,536.76
identification,0,1171,958.08,550.8
identification,0,1204,958.08,542.16
identification,0,1238,948.48,541.08
identification,0,1271,946.56,528.12
identification,0,1321,933.12,525.96
identification,0,1354,923.52,521.64
identification,0,1388,917.76,514.08
identification,0,1421,912,509.76
identification,0,1454,908.16,508.68
identification,0,1488,904.32,507.6
identification,0,1521,910.08,509.76
identification,0,1571,912,510.84
identification,0,1605,917.76,479.52
identification,0,1638,915.84,484.92
identification,0,1688,925.44,490.32
identification,0,1721,948.48,491.4
identification,0,1754,965.76,490.32
identification,0,1788,984.96,492.48
identification,0,1821,990.72,508.68
identification,0,1855,1009.92,501.12
identification,0,1889,1011.84,502.2
identification,0,1921,1000.32,493.56
identification,0,1971,994.56,495.72
identification,0,2005,996.48,487.08
identification,0,2038,998.4,489.24
identification,0,2088,990.72,492.48
identification,0,2122,979.2,493.56
identification,0,2155,967.68,501.12
identification,0,2188,954.24,507.6
identification,0,2221,940.8,507.6
identification,0,2255,927.36,508.68
identification,0,2288,913.92,505.44
identification,0,2338,871.68,503.28
identification,0,2373,865.92,497.88
identification,0,2405,854.4,493.56
identification,0,2455,842.88,488.16
identification,0,2490,831.36,487.08
identification,0,2522,829.44,486
identification,0,2555,825.6,490.32
identification,0,2589,829.44,497.88
identification,0,2623,827.52,500.04
identification,0,2656,825.6,503.28
identification,0,2689,823.68,505.44
identification,0,2738,825.6,507.6
identification,0,2773,827.52,508.68
identification,0,2806,831.36,509.76
identification,0,2856,840.96,511.92
identification,0,2889,850.56,514.08
identification,0,2922,860.16,517.32
identification,0,2956,869.76,522.72
identification,0,2990,877.44,529.2
identification,0,3024,883.2,534.6
identification,0,3056,885.12,538.92
identification,0,3089,883.2,543.24
identification,0,3139,877.44,552.96
identification,0,3173,875.52,558.36
identification,0,3208,873.6,561.6
identification,0,3256,873.6,564.84
identification,0,3289,877.44,569.16
identification,0,3323,879.36,572.4
identification,0,3356,883.2,576.72
identification,0,3390,887.04,581.04
identification,0,3423,894.72,583.2
identification,0,3457,900.48,584.28
identification,0,3490,908.16,581.04
identification,0,3540,915.84,576.72
identification,0,3573,921.6,569.16
identification,0,3623,925.44,560.52
identification,0,3656,929.28,555.12
identification,0,3690,935.04,551.88
identification,0,3724,936.96,552.96
identification,0,3757,938.88,557.28
identification,0,3790,940.8,563.76
identification,0,3823,940.8,570.24
identification,0,3857,940.8,574.56
identification,0,3890,942.72,573.48
identification,0,3940,950.4,531.36
identification,0,3973,952.32,506.52
identification,0,4024,954.24,489.24
identification,0,4057,952.32,463.32
identification,0,4090,965.76,450.36
identification,0,4124,973.44,434.16
identification,0,4158,979.2,420.12
identification,0,4191,986.88,407.16
identification,0,4224,992.64,396.36
identification,0,4257,998.4,384.48
identification,0,4307,992.64,392.04
identification,0,4342,1006.08,396.36
identification,0,4375,1011.84,393.12
identification,0,4424,1017.6,389.88
identification,0,4457,1021.44,385.56
identification,0,4491,1025.28,387.72
identification,0,4525,1027.2,392.04
identification,0,4558,1031.04,396.36
identification,0,4591,1031.04,400.68
identification,0,4625,1029.12,406.08
identification,0,4658,1027.2,411.48
identification,1,0,1027.2,427.68
identification,1,0,1023.36,427.68
identification,1,24,1017.6,427.68
identification,1,57,1013.76,427.68
identification,1,108,1009.92,426.6
identification,1,140,1006.08,423.36
identification,1,191,1004.16,420.12
identification,1,223,1000.32,415.8
identification,1,257,998.4,412.56
identification,1,290,996.48,409.32
identification,1,325,992.64,407.16
identification,1,357,984.96,412.56
identification,1,391,971.52,420.12
identification,1,424,958.08,429.84
identification,1,458,940.8,439.56
identification,1,508,925.44,450.36
identification,1,541,913.92,455.76
identification,1,591,902.4,463.32
identification,1,624,888.96,471.96
identification,1,658,873.6,477.36
identification,1,691,856.32,483.84
identification,1,725,839.04,490.32
identification,1,758,821.76,496.8
identification,1,791,806.4,502.2
identification,1,825,777.6,514.08
identification,1,874,844.8,535.68
identification,1,908,881.28,529.2
identification,1,958,902.4,537.84
identification,1,991,917.76,541.08
identification,1,1024,923.52,547.56
identification,1,1058,927.36,562.68
identification,1,1092,931.2,569.16
identification,1,1125,938.88,575.64
identification,1,1158,944.64,578.88
identification,1,1192,952.32,581.04
identification,1,1225,954.24,578.88
identification,1,1275,960,576.72
identification,1,1308,971.52,583.2
identification,1,1359,1008,594
identification,1,1392,1032.96,585.36
identification,1,1425,1040.64,584.28
identification,1,1458,1057.92,588.6
identification,1,1492,1054.08,576.72
identification,1,1525,1048.32,572.4
identification,1,1558,1050.24,571.32
identification,1,1592,1052.16,570.24
identification,1,1641,1025.28,576.72
identification,1,1675,1004.16,582.12
identification,1,1708,1008,556.2
identification,1,1759,996.48,561.6
identification,1,1792,992.64,579.96
identification,1,1826,996.48,572.4
identification,1,1859,998.4,569.16
identification,1,1892,994.56,563.76
identification,1,1926,988.8,564.84
identification,1,1958,979.2,575.64
identification,1,1992,967.68,582.12
identification,1,2042,942.72,585.36
identification,1,2075,933.12,587.52
identification,1,2127,929.28,584.28
identification,1,2159,929.28,579.96
identification,1,2192,933.12,578.88
identification,1,2226,942.72,594
identification,1,2259,950.4,616.68
identification,1,2293,963.84,630.72
identification,1,2326,979.2,641.52
identification,1,2359,996.48,651.24
identification,1,2393,1054.08,645.84
identification,1,2443,1102.08,621
identification,1,2476,1128.96,623.16
identification,1,2527,1150.08,619.92
identification,1,2559,1215.36,625.32
identification,1,2593,1240.32,629.64
identification,1,2626,1244.16,633.96
identification,1,2660,1207.68,637.2
identification,1,2693,1213.44,619.92
identification,1,2727,1213.44,613.44
identification,1,2760,1209.6,601.56
identification,1,2793,1184.64,591.84
identification,1,2844,1159.68,619.92
identification,1,2876,1146.24,614.52
identification,1,2927,1113.6,627.48
identification,1,2960,1090.56,626.4
identification,1,2993,1017.6,643.68
identification,1,3027,1008,617.76
identification,1,3060,975.36,609.12
identification,1,3093,958.08,608.04
identification,1,3127,948.48,604.8
identification,1,3160,940.8,605.88
identification,1,3210,938.88,613.44
identification,1,3243,933.12,638.28
identification,1,3293,931.2,624.24
identification,1,3327,927.36,591.84
