,pid,module,trial,item,total_fixation,eye_fixation,mouth_fixation,abs_dwell_time_eyes,abs_dwell_time_mouth,first_time_eye
0,00000000,identification,0,1_20_male_angry,5,0,3,0.0,2902.2923076923075,
1,00000000,identification,1,1_20_male_fearful,11,1,1,515.3821138211382,147.25203252032523,902.4
2,00000000,identification,2,1_20_male_happy,11,1,2,765.3515625,328.0078125,913.92
3,00000000,identification,3,1_20_male_sad,16,0,0,36.1937984496124,470.51937984496124,990.72
4,00000000,identification,4,1_20_male_surprised,6,0,1,642.2290076335878,428.1526717557252,1056.0
5,00000000,identification,5,10_30_female_angry,10,1,1,639.5289855072464,403.9130434782609,950.4
6,00000000,identification,6,10_30_female_disgusted,4,1,1,1470.5367647058822,1162.75,942.72
7,00000000,identification,7,10_30_female_fearful,11,1,0,532.9007633587786,106.58015267175573,986.88
8,00000000,identification,8,10_30_female_happy,4,1,1,3566.28125,3384.328125,904.32
9,00000000,identification,9,10_30_female_sad,14,2,0,728.4375,692.015625,960.0
10,00000000,identification,10,14_40_male_angry,5,3,0,2938.123076923077,0.0,842.88
11,00000000,identification,11,14_40_male_fearful,11,2,1,294.50406504065046,1141.2032520325201,963.84
12,00000000,identification,12,14_40_male_happy,11,2,1,328.0078125,765.3515625,944.64
13,00000000,identification,13,14_40_male_neutral,16,0,0,36.1937984496124,470.51937984496124,990.72
14,00000000,identification,14,14_40_male_sad,6,0,1,178.3969465648855,606.5496183206106,1057.92
15,00000000,identification,15,18_40_female_disgusted,10,1,2,706.8478260869566,1077.1014492753623,883.2
16,00000000,identification,16,18_40_female_neutral,4,0,2,1402.139705882353,1880.9191176470588,1009.92
17,00000000,identification,17,18_40_female_sad,11,4,0,781.587786259542,106.58015267175573,912.0
18,00000000,identification,18,18_40_female_surprised,4,1,1,3566.28125,109.171875,904.32
19,00000000,identification,19,21_50_male_disgusted,14,0,1,546.328125,109.265625,948.48
20,00000000,identification,20,21_50_male_fearful,5,3,0,2579.8153846153846,0.0,842.88
21,00000000,identification,21,21_50_male_neutral,11,1,2,1730.2113821138212,294.50406504065046,925.44
22,00000000,identification,22,21_50_male_surprised,11,1,2,765.3515625,328.0078125,913.92
23,00000000,identification,23,24_50_female_angry,16,0,0,470.51937984496124,36.1937984496124,954.24
24,00000000,identification,24,24_50_female_fearful,6,2,0,856.3053435114504,642.2290076335878,979.2
25,00000000,identification,25,24_50_female_happy,10,1,2,639.5289855072464,1009.7826086956521,950.4
26,00000000,identification,26,24_50_female_sad,4,0,1,1231.1470588235295,1744.125,990.72
27,00000000,identification,27,4_20_female_angry,11,1,3,532.9007633587786,959.2213740458016,986.88
28,00000000,identification,28,4_20_female_disgusted,4,2,0,3857.40625,36.390625,829.44
29,00000000,identification,29,4_20_female_neutral,14,0,1,692.015625,72.84375,958.08
30,00000000,identification,30,4_20_female_surprised,5,0,3,0.0,2579.8153846153846,
31,00000000,identification,31,7_30_male_disgusted,11,1,1,515.3821138211382,147.25203252032523,902.4
32,00000000,identification,32,7_30_male_happy,11,2,1,328.0078125,765.3515625,944.64
33,00000000,identification,33,7_30_male_neutral,16,0,0,36.1937984496124,470.51937984496124,977.28
34,00000000,identification,34,7_30_male_surprised,6,1,0,428.1526717557252,642.2290076335878,979.2
